 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Sexo
Período:2020
"País de residência";"Masc";"Fem";"Ign";"Total"
"208  ARUBA";1;-;-;1
"25   POLONIA";1;-;-;1
"110  GUATEMALA";1;-;-;1
"40   VIETNA";1;-;-;1
"45   ESTADOS UNIDOS";2;4;-;6
"38   REINO UNIDO";3;-;-;3
"57   PORTO RICO";1;-;-;1
"68   BOLIVIA";45;28;1;74
"2    GABAO";3;1;-;4
"3    GEORGIA";3;1;1;5
"6    MARROCOS";-;1;-;1
"7    PERU";8;3;-;11
"9    SUICA";1;-;-;1
"10   TURCOMENISTAO";1;-;-;1
"11   SOMALIA";2;-;-;2
"17   IRLANDA";1;1;-;2
"19   ITALIA";3;1;-;4
"21   MEXICO";1;-;-;1
"23   SUECIA";-;1;-;1
"29   TAIWAN (ILHA FORMOSA)";-;1;-;1
"30   UZBEQUISTAO";1;-;-;1
"31   ANGOLA";-;1;-;1
"32   ARGENTINA";21;7;-;28
"39   UCRANIA";2;-;-;2
"41   ALEMANHA";2;1;-;3
"44   ESPANHA";-;1;-;1
"46   FRANCA";8;-;-;8
"50   SIRIA";1;-;-;1
"51   ZAIRE";-;1;-;1
"55   JAPAO";1;-;-;1
"65   ALBANIA";1;-;-;1
"96   CANADA";1;-;-;1
"107  FILIPINAS";8;-;-;8
"111  GUIANA FRANCESA";-;1;-;1
"114  HAITI";-;1;-;1
"126  PARAGUAI";43;30;-;73
"127  QUENIA";-;1;-;1
"134  SERRA LEOA";-;1;-;1
"135  SRI LANKA";1;-;-;1
"137  URUGUAI";4;4;-;8
"138  VENEZUELA";10;12;-;22
"143  AUSTRIA";1;-;-;1
"145  BANGLADESH";1;-;-;1
"147  BOSNIA-HERZEGOVINA";-;1;-;1
"151  COLOMBIA";7;-;-;7
"160  FINLANDIA";1;-;-;1
"165  INDONESIA";1;-;-;1
"182  PORTUGAL";2;-;-;2
"192  CHILE";2;3;-;5
"193  REPUBLICA POPULAR DA CHINA";3;-;-;3
"199  GUIANA";3;3;-;6
"204  SERVIA E MONTENEGRO";1;-;-;1
"205  RUANDA";1;-;-;1
"0    IGNORADO/BRANCO";1;-;-;1
"Total";206;110;2;318
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
