 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Sexo
Período:2021
"País de residência";"Masc";"Fem";"Ign";"Total"
"25   POLONIA";1;-;-;1
"110  GUATEMALA";1;-;-;1
"86   TANZANIA";-;1;-;1
"45   ESTADOS UNIDOS";13;1;-;14
"64   TUVALU";1;1;-;2
"68   BOLIVIA";39;35;-;74
"71   EQUADOR";1;1;-;2
"81   QUIRGUISTAO";-;1;-;1
"91   TUNISIA";1;-;-;1
"2    GABAO";4;2;1;7
"3    GEORGIA";2;2;-;4
"4    IEMEM";1;1;-;2
"7    PERU";14;3;-;17
"9    SUICA";1;-;-;1
"10   TURCOMENISTAO";-;2;-;2
"11   SOMALIA";-;1;-;1
"15   GUINE";1;-;-;1
"19   ITALIA";4;1;-;5
"21   MEXICO";1;-;-;1
"26   REPUBLICA TCHECA";-;1;-;1
"28   SUDAO";1;-;-;1
"32   ARGENTINA";5;1;-;6
"33   BRUNEI";1;-;-;1
"36   MALDIVAS";1;-;-;1
"39   UCRANIA";1;-;-;1
"41   ALEMANHA";1;-;-;1
"43   BELGICA";1;-;-;1
"44   ESPANHA";1;-;-;1
"46   FRANCA";4;1;-;5
"49   RUSSIA";3;-;-;3
"55   JAPAO";4;1;-;5
"59   ANTILHAS HOLANDESAS";1;-;-;1
"62   MYANMAR";1;-;-;1
"92   AUSTRALIA";1;-;-;1
"99   CHIPRE";-;1;-;1
"107  FILIPINAS";8;-;-;8
"111  GUIANA FRANCESA";1;-;-;1
"122  MOLDOVA";-;1;-;1
"124  PANAMA";1;-;-;1
"126  PARAGUAI";113;73;-;186
"127  QUENIA";1;-;-;1
"128  REPUBLICA CENTRO-AFRICANA";1;-;-;1
"136  TURQUIA";1;-;-;1
"137  URUGUAI";3;2;-;5
"138  VENEZUELA";8;2;-;10
"143  AUSTRIA";1;-;-;1
"147  BOSNIA-HERZEGOVINA";2;-;-;2
"151  COLOMBIA";7;-;-;7
"156  CUBA";1;-;-;1
"162  GRECIA";1;-;-;1
"164  INDIA";1;-;-;1
"182  PORTUGAL";2;1;-;3
"192  CHILE";3;1;-;4
"193  REPUBLICA POPULAR DA CHINA";2;-;-;2
"199  GUIANA";2;2;-;4
"125  PAQUISTAO";1;-;-;1
"Total";271;139;1;411
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
