 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Faixa Etária
Período:2020
"País de residência";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"208  ARUBA";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"25   POLONIA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"110  GUATEMALA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"40   VIETNA";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"45   ESTADOS UNIDOS";-;-;-;-;-;1;-;1;-;1;1;2;-;6
"38   REINO UNIDO";-;-;-;-;-;-;2;1;-;-;-;-;-;3
"57   PORTO RICO";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"68   BOLIVIA";7;1;1;1;4;8;12;9;14;9;3;2;3;74
"2    GABAO";-;-;-;-;-;-;-;-;-;1;2;1;-;4
"3    GEORGIA";-;-;-;-;-;-;-;-;-;-;1;3;1;5
"6    MARROCOS";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"7    PERU";-;-;-;-;-;2;2;-;2;2;-;-;3;11
"9    SUICA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"10   TURCOMENISTAO";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"11   SOMALIA";-;-;-;-;-;-;-;-;-;1;1;-;-;2
"17   IRLANDA";-;1;-;-;-;-;-;-;1;-;-;-;-;2
"19   ITALIA";-;-;-;-;-;-;-;-;-;-;2;2;-;4
"21   MEXICO";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"23   SUECIA";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"29   TAIWAN (ILHA FORMOSA)";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"30   UZBEQUISTAO";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"31   ANGOLA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"32   ARGENTINA";-;-;-;-;-;4;6;5;-;5;5;2;1;28
"39   UCRANIA";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"41   ALEMANHA";-;-;-;-;-;-;1;-;2;-;-;-;-;3
"44   ESPANHA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"46   FRANCA";-;1;-;-;-;2;-;-;1;3;1;-;-;8
"50   SIRIA";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"51   ZAIRE";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"55   JAPAO";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"65   ALBANIA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"96   CANADA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"107  FILIPINAS";-;-;-;-;-;1;2;5;-;-;-;-;-;8
"111  GUIANA FRANCESA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"114  HAITI";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"126  PARAGUAI";7;1;-;-;2;8;7;5;12;19;6;3;3;73
"127  QUENIA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"134  SERRA LEOA";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"135  SRI LANKA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"137  URUGUAI";-;-;-;-;-;-;1;-;1;3;1;2;-;8
"138  VENEZUELA";4;1;1;-;-;1;6;2;5;2;-;-;-;22
"143  AUSTRIA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"145  BANGLADESH";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"147  BOSNIA-HERZEGOVINA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"151  COLOMBIA";-;-;-;-;-;4;2;-;-;-;-;1;-;7
"160  FINLANDIA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"165  INDONESIA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"182  PORTUGAL";-;-;-;-;-;-;-;-;1;1;-;-;-;2
"192  CHILE";-;-;-;-;-;1;-;-;2;2;-;-;-;5
"193  REPUBLICA POPULAR DA CHINA";-;-;-;-;-;-;1;-;1;1;-;-;-;3
"199  GUIANA";2;-;-;-;1;-;-;1;-;2;-;-;-;6
"204  SERVIA E MONTENEGRO";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"205  RUANDA";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"0    IGNORADO/BRANCO";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"Total";20;5;3;1;7;32;45;37;47;56;29;24;12;318
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
